source_path	start_line	end_line	classification	destination
LICENSES/README.md	1	463	REFERENCE	references/rights-clearance-guide.md
LICENSES/asset-rights-register.md	1	96	REFERENCE	references/asset-rights-method.md
LICENSES/asset-rights-register.md	97	145	TEMPLATE	templates/governance/asset-rights-register.md
LICENSES/asset-rights-register.md	146	268	REFERENCE	references/asset-rights-method.md
LICENSES/asset-rights-register.md	269	278	TEMPLATE	templates/governance/asset-rights-register.md
LICENSES/asset-rights-register.md	279	335	REFERENCE	references/asset-rights-method.md
LICENSES/asset-rights-register.md	336	593	TEMPLATE	templates/governance/asset-rights-register.md
LICENSES/asset-rights-register.md	594	943	REFERENCE	references/asset-rights-method.md
LICENSES/asset-rights-register.md	944	954	TEMPLATE	templates/governance/asset-rights-register.md
LICENSES/asset-rights-register.md	955	993	REFERENCE	references/asset-rights-method.md
LICENSES/third-party-notices.md	1	22	FACT	LICENSES/third-party-notices.md
LICENSES/third-party-notices.md	23	80	REFERENCE	references/third-party-rights-method.md
LICENSES/third-party-notices.md	81	114	TEMPLATE	templates/governance/third-party-notices.md
LICENSES/third-party-notices.md	115	219	REFERENCE	references/third-party-rights-method.md
LICENSES/third-party-notices.md	220	229	TEMPLATE	templates/governance/third-party-notices.md
LICENSES/third-party-notices.md	230	249	REFERENCE	references/third-party-rights-method.md
LICENSES/third-party-notices.md	250	367	TEMPLATE	templates/governance/third-party-notices.md
LICENSES/third-party-notices.md	368	601	REFERENCE	references/third-party-rights-method.md
LICENSES/third-party-notices.md	602	679	TEMPLATE	templates/governance/third-party-notices.md
LICENSES/third-party-notices.md	680	698	REFERENCE	references/third-party-rights-method.md
LICENSES/third-party-notices.md	699	706	TEMPLATE	templates/governance/third-party-notices.md
LICENSES/third-party-notices.md	707	764	REFERENCE	references/third-party-rights-method.md
LICENSES/third-party-notices.md	765	785	TEMPLATE	templates/governance/third-party-notices.md
LICENSES/third-party-notices.md	786	807	REFERENCE	references/third-party-rights-method.md
