path	line	column	token	old	new	action	reason
LICENSES/README.md	343	5	必要的许可证原文或 NOTICE	[必要的许可证原文或 NOTICE]	[[必要的许可证原文或 NOTICE]]	MIGRATE	fillable-slot
LICENSES/README.md	344	5	授权书/购买凭证/许可证明的安全存储路径	[授权书/购买凭证/许可证明的安全存储路径]	[[授权书/购买凭证/许可证明的安全存储路径]]	MIGRATE	fillable-slot
LICENSES/README.md	428	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	429	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	430	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	431	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	432	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	433	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	434	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	435	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	436	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	437	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	438	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	439	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/README.md	440	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	12	3	project-root	[project-root]	[[project-root]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	101	10	项目名称	[项目名称]	[[项目名称]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	102	11	PROJECT-ID	[PROJECT-ID]	[[PROJECT-ID]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	103	13	MAJOR	[MAJOR]	[[MAJOR]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	103	21	MINOR	[MINOR]	[[MINOR]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	103	29	PATCH	[PATCH]	[[PATCH]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	104	14	MAJOR	[MAJOR]	[[MAJOR]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	104	22	MINOR	[MINOR]	[[MINOR]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	104	30	PATCH	[PATCH]	[[PATCH]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	107	11	姓名 / 角色	[姓名 / 角色]	[[姓名 / 角色]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	108	11	姓名 / 角色	[姓名 / 角色]	[[姓名 / 角色]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	109	11	姓名 / 角色	[姓名 / 角色]	[[姓名 / 角色]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	110	11	姓名 / 角色	[姓名 / 角色]	[[姓名 / 角色]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	111	10	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	112	12	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	113	10	国家/地区	[国家/地区]	[[国家/地区]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	114	10	平台/渠道	[平台/渠道]	[[平台/渠道]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	119	13	路径/版本	[路径/版本]	[[路径/版本]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	120	12	受控路径/合同系统/安全仓库	[受控路径/合同系统/安全仓库]	[[受控路径/合同系统/安全仓库]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	129	1	PROJECT vX.Y.Z	[PROJECT vX.Y.Z]	[[PROJECT vX.Y.Z]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	132	1	SCRIPT vX.Y.Z	[SCRIPT vX.Y.Z]	[[SCRIPT vX.Y.Z]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	135	1	PROD vX.Y.Z	[PROD vX.Y.Z]	[[PROD vX.Y.Z]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	138	1	RELEASE vX.Y.Z / 未发布	[RELEASE vX.Y.Z / 未发布]	[[RELEASE vX.Y.Z / 未发布]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	306	7	类别缩写	[类别缩写]	[[类别缩写]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	306	14	三位或四位编号	[三位或四位编号]	[[三位或四位编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	306	24	简短名称	[简短名称]	[[简短名称]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	306	31	版本	[版本]	[[版本]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	342	10	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	342	15	资产名称	[资产名称]	[[资产名称]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	348	20	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	355	11	版本	[版本]	[[版本]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	359	10	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	360	10	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	363	10	PROJECT-ID	[PROJECT-ID]	[[PROJECT-ID]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	364	29	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	365	16	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	365	26	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	366	15	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	367	16	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	368	15	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	369	19	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	389	16	开始	[开始]	[[开始]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	389	24	结束	[结束]	[[结束]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	393	14	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	394	14	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	402	10	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	417	10	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	448	12	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	449	15	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	450	12	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	501	13	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	513	10	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	527	15	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	537	22	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	559	10	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	562	18	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	570	25	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	584	16	编号	[编号]	[[编号]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	586	10	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	589	10	YYYY-MM-DD	[YYYY-MM-DD]	[[YYYY-MM-DD]]	MIGRATE	fillable-slot
LICENSES/asset-rights-register.md	600	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	601	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	602	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	603	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	604	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	605	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	606	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	607	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	631	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	632	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	633	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	634	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	635	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	636	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	642	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	643	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	644	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	645	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	646	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	647	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	648	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	654	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	655	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	656	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	657	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	658	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	659	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	660	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	666	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	667	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	668	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	669	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	670	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	671	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	672	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	678	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	679	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	680	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	681	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	682	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	683	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	684	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	685	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	686	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	732	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	733	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	734	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	735	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	736	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	737	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	774	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	775	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	776	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	777	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	778	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	779	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	789	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	790	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	791	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	792	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	793	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	794	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	795	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	796	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	802	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	803	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	804	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	805	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	806	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	807	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	808	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	809	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	810	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	839	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	840	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	841	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
LICENSES/asset-rights-register.md	842	3	 	[ ]	[ ]	PRESERVE	markdown-checkbox
